"DATA","ABERTURA","FECHAMENTO","VARIAÇÃO","MÍNIMO","MÁXIMO","VOLUME"
"13/10/2022","26,48","27,63","3,52","26,32","27,78","19,91M"
"11/10/2022","27,10","26,69","-0,89","26,36","27,10","27,68M"
"10/10/2022","27,10","26,93","0,00","26,72","27,27","20,25M"
"07/10/2022","26,51","26,93","1,74","26,51","27,15","15,57M"
"06/10/2022","25,95","26,47","2,28","25,78","26,56","12,55M"
"05/10/2022","26,10","25,88","-0,65","25,55","26,23","14,01M"
"04/10/2022","26,50","26,05","-0,65","25,60","26,95","23,80M"
"03/10/2022","25,45","26,22","4,46","24,97","26,32","36,72M"
"30/09/2022","25,49","25,10","-1,57","24,85","25,53","37,74M"
"29/09/2022","26,14","25,50","-3,45","25,32","26,30","22,94M"
"28/09/2022","26,30","26,41","0,49","26,01","26,52","18,55M"
"27/09/2022","26,32","26,28","-0,45","26,28","27,48","24,26M"
"26/09/2022","27,21","26,40","-3,68","26,21","27,21","17,63M"
"23/09/2022","27,41","27,41","-1,23","27,14","27,65","10,36M"
"22/09/2022","27,62","27,75","1,46","27,50","28,13","25,40M"
"21/09/2022","28,03","27,35","-2,98","27,25","28,31","14,08M"
"20/09/2022","27,45","28,19","2,21","27,41","28,60","23,78M"
"19/09/2022","26,56","27,58","3,30","26,54","27,94","20,16M"
"16/09/2022","26,87","26,70","-1,33","26,27","27,11","17,06M"
"15/09/2022","26,65","27,06","1,12","26,42","27,28","22,99M"
"14/09/2022","26,46","26,76","1,17","26,29","26,91","17,00M"
"13/09/2022","26,65","26,45","-1,86","26,10","26,94","21,54M"
"12/09/2022","28,72","26,95","-5,31","26,43","28,75","47,24M"
"09/09/2022","27,79","28,46","3,12","27,52","28,73","27,31M"
"08/09/2022","27,94","27,60","-0,50","27,05","28,10","18,46M"
"06/09/2022","27,13","27,74","1,06","26,94","28,31","26,13M"
"05/09/2022","27,28","27,45","1,29","26,76","27,45","14,23M"
"02/09/2022","27,50","27,10","-1,09","27,10","27,70","18,26M"
"01/09/2022","26,71","27,40","2,58","26,50","27,46","19,44M"
"31/08/2022","27,38","26,71","-2,09","26,57","27,56","18,52M"
"30/08/2022","26,90","27,28","1,60","26,72","27,41","18,72M"
"29/08/2022","26,79","26,85","-0,07","26,52","27,10","8,82M"
"26/08/2022","26,95","26,87","-0,04","26,67","27,29","7,86M"
"25/08/2022","26,82","26,88","0,64","26,43","27,33","28,37M"
"24/08/2022","26,35","26,71","0,98","26,35","26,89","27,52M"
"23/08/2022","26,58","26,45","-0,34","26,31","26,98","12,60M"
"22/08/2022","26,54","26,54","-0,34","26,24","26,61","12,76M"
"19/08/2022","27,74","26,63","-5,33","26,44","27,75","28,63M"
"18/08/2022","28,28","28,13","-0,18","27,87","28,33","21,45M"
"17/08/2022","27,40","28,18","2,06","27,25","28,28","36,88M"
"16/08/2022","27,28","27,61","1,54","26,84","27,87","22,25M"
"15/08/2022","26,44","27,19","2,72","26,13","27,49","29,78M"
"12/08/2022","26,10","26,47","1,26","25,98","26,72","37,96M"
"11/08/2022","26,48","26,14","-0,76","25,71","26,65","30,00M"
"10/08/2022","26,53","26,34","0,53","26,15","26,71","31,09M"
"09/08/2022","26,80","26,20","-2,38","25,81","27,60","38,56M"
"08/08/2022","25,48","26,84","6,51","25,07","27,35","56,30M"
"05/08/2022","24,01","25,20","6,33","23,89","25,97","50,14M"
"04/08/2022","23,50","23,70","1,41","23,40","23,92","14,36M"
"03/08/2022","23,04","23,37","1,83","22,83","23,44","20,24M"
"02/08/2022","22,57","22,95","1,15","22,57","23,33","20,01M"
"01/08/2022","22,77","22,69","-0,35","22,52","23,14","20,30M"
"29/07/2022","22,46","22,77","1,70","22,38","23,29","21,41M"
"28/07/2022","22,19","22,39","0,54","22,17","22,58","18,25M"
"27/07/2022","21,94","22,27","2,20","21,91","22,51","12,02M"
"26/07/2022","22,15","21,79","-1,63","21,63","22,46","17,41M"
"25/07/2022","22,30","22,15","0,27","21,97","22,54","13,76M"
"22/07/2022","22,30","22,09","-0,94","22,09","22,62","10,98M"
"21/07/2022","21,89","22,30","1,36","21,88","22,50","9,20M"
"20/07/2022","21,78","22,00","1,01","21,54","22,19","14,56M"
"19/07/2022","21,49","21,78","1,78","21,27","21,99","9,94M"
"18/07/2022","21,50","21,40","0,09","21,26","21,76","12,32M"
"15/07/2022","20,59","21,38","3,79","20,59","21,49","12,82M"
"14/07/2022","20,58","20,60","-1,10","20,35","20,88","8,33M"
"13/07/2022","20,73","20,83","-0,10","20,73","21,26","10,21M"
"12/07/2022","20,68","20,85","0,34","20,52","21,22","13,88M"
"11/07/2022","20,72","20,78","-1,28","20,66","21,66","25,40M"
"08/07/2022","21,07","21,05","-0,47","20,93","21,59","14,68M"
"07/07/2022","21,03","21,15","1,44","20,96","21,53","16,67M"
"06/07/2022","20,84","20,85","-0,05","20,43","21,21","15,64M"
"05/07/2022","21,35","20,86","-2,98","20,38","21,41","19,28M"
"04/07/2022","21,81","21,50","-2,27","21,34","22,07","13,69M"
"01/07/2022","22,40","22,00","-1,03","21,75","22,45","10,73M"
"30/06/2022","22,15","22,23","-1,07","21,69","22,50","12,58M"
"29/06/2022","22,86","22,47","-1,40","22,13","23,05","11,88M"
"28/06/2022","22,23","22,79","2,75","22,20","23,66","29,41M"
"27/06/2022","21,54","22,18","3,07","21,38","22,26","13,61M"
"24/06/2022","21,56","21,52","0,09","21,16","21,70","8,95M"
"23/06/2022","21,35","21,50","0,99","21,12","21,66","10,25M"
"22/06/2022","21,08","21,29","0,42","20,83","21,63","12,58M"
"21/06/2022","21,10","21,20","0,81","20,90","21,32","11,33M"
"20/06/2022","21,35","21,03","-1,96","20,71","21,38","10,12M"
"17/06/2022","21,29","21,45","-1,02","20,91","21,65","15,69M"
"15/06/2022","21,29","21,67","2,31","21,28","21,91","15,14M"
